visualization,vis_ID,VA,VAT,CorresDT,mandatory,Max#Val,VA_imp
Histogram,HT,x,Position,Numeric,1,2000,100
BarChartxOffOrdinal,BCxO,x,ColorHue,Ordinal,1,10,92.5
BarChartxOffOrdinal,BCxO,color,ColorHue,Ordinal,1,10,92.5
BarChartxOffNominal,BCxN,x,ColorHue,Nominal,1,10,97.5
BarChartxOffNominal,BCxN,color,ColorHue,Nominal,1,10,97.5
BarChartOrdinal,BCO,x,Position,Numeric,1,2000,100
BarChartOrdinal,BCO,color,ColorHue,Ordinal,1,10,92.5
BarChartNominal,BCN,x,Position,Numeric,1,2000,100
BarChartNominal,BCN,color,ColorHue,Nominal,1,10,97.5
PieChartOrdinal,PCO,color,ColorHue,Ordinal,1,10,92.5
PieCharNominal,PCN,color,ColorHue,Nominal,1,10,97.5
LineChartTemporal,LCT,x,Position,Numeric,1,2000,100
LineChartTemporal,LCT,t,TimeAxis,Time,1,100,100
LineChartOrdinal,LCO,x,Position,Numeric,1,2000,100
LineChartOrdinal,LCO,t,TimeAxis,Time,1,100,100
LineChartOrdinal,LCO,color,ColorHue,Ordinal,1,10,92.5
LineChartNominal,LCN,x,Position,Numeric,1,2000,100
LineChartNominal,LCN,t,TimeAxis,Time,1,100,100
LineChartNominal,LCN,color,ColorHue,Nominal,1,10,97.5
Scatterplot,SP,x,Position,Numeric,1,2000,100
Scatterplot,SP,y,Position,Numeric,1,2000,100
ScatterplotOrdinal,SPO,x,Position,Numeric,1,2000,100
ScatterplotOrdinal,SPO,y,Position,Numeric,1,2000,100
ScatterplotOrdinal,SPO,color,ColorHue,Ordinal,1,10,92.5
ScatterplotNominal,SPN,x,Position,Numeric,1,2000,100
ScatterplotNominal,SPN,y,Position,Numeric,1,2000,100
ScatterplotNominal,SPN,color,ColorHue,Nominal,1,10,97.5